net,length_um
net21,40.3µm
net20,35.62µm
net14,35.28µm
net23,34.12µm
net18,33.78µm
net19,33.1µm
net13,32.82µm
net16,31.5µm
net15,31.02µm
net22,28.72µm
net17,25.98µm
net6,25.02µm
net24,23.26µm
clk,22.95µm
_10_,17.02µm
alarm_i,16.53µm
_11_,14.96µm
hour[4],14.85µm
alarm_min[1],14.65µm
_01_,14.26µm
_15_,14.1µm
alarm_o,13.91µm
net25,13.64µm
clknet_0_clk,13.3µm
_18_,12.86µm
alarm_min[0],12.61µm
alarm_hour[4],11.75µm
alarm_min[2],10.93µm
clknet_1_0__leaf_clk,10.92µm
net26,10.74µm
_08_,10.24µm
hour[3],10.07µm
net11,9.84µm
_14_,9.18µm
minute[0],9.05µm
clknet_1_1__leaf_clk,8.52µm
rst_n,8.47µm
alarm_hour[2],8.39µm
_00_,8.28µm
_02_,7.94µm
alarm_min[3],7.69µm
hour[0],7.35µm
alarm_hour[1],6.99µm
net5,6.76µm
minute[2],6.31µm
state_alarm,5.84µm
net9,5.72µm
alarm_hour[0],5.65µm
alarm_hour[3],5.29µm
hour[2],5.29µm
minute[3],5.29µm
net10,5.26µm
alarm_min[5],4.95µm
hour[1],4.95µm
minute[4],4.95µm
_12_,4.92µm
alarm_min[4],4.61µm
_13_,4.56µm
minute[1],4.27µm
_07_,4.02µm
minute[5],3.93µm
net12,3.9µm
_16_,3.42µm
_05_,2.96µm
_17_,2.96µm
_09_,2.86µm
_04_,2.85µm
_06_,2.68µm
_03_,2.64µm
net1,2.64µm
net8,2.5µm
net7,2.18µm
net2,2.16µm
net3,1.835µm
net4,1.26µm
net27,0.46µm
