Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,37.9500,38.0800,0.000000
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000000
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000000
FILLER_9_41,VGND,li1,27.1400,38.0800,0.000000
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000000
FILLER_9_20,VGND,li1,16.5600,38.0800,0.000000
FILLER_8_73,VGND,li1,39.5600,32.6400,0.000000
FILLER_8_65,VGND,li1,37.2600,32.6400,0.000000
FILLER_8_53,VGND,li1,32.6600,32.6400,0.000000
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000000
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000000
FILLER_8_20,VGND,li1,16.5600,32.6400,0.000000
FILLER_8_12,VGND,li1,11.2700,32.6400,0.000000
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000000
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000000
FILLER_7_54,VGND,li1,30.8200,32.6400,0.000000
FILLER_7_46,VGND,li1,28.5200,32.6400,0.000000
FILLER_7_34,VGND,li1,23.9200,32.6400,0.000000
FILLER_7_22,VGND,li1,18.4000,32.6400,0.000000
FILLER_7_10,VGND,li1,12.8800,32.6400,0.000000
FILLER_6_77,VGND,li1,41.1700,27.2000,0.000000
FILLER_6_65,VGND,li1,38.1800,27.2000,0.000000
FILLER_6_53,VGND,li1,32.6600,27.2000,0.000000
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000000
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000000
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000000
FILLER_6_19,VGND,li1,16.1000,27.2000,0.000000
FILLER_6_9,VGND,li1,10.3500,27.2000,0.000000
FILLER_5_77,VGND,li1,41.1700,27.2000,0.000000
FILLER_5_69,VGND,li1,39.1000,27.2000,0.000000
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000000
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000000
FILLER_5_49,VGND,li1,29.4400,27.2000,0.000000
FILLER_5_37,VGND,li1,25.3000,27.2000,0.000000
FILLER_5_25,VGND,li1,19.7800,27.2000,0.000000
FILLER_5_15,VGND,li1,13.3400,27.2000,0.000000
FILLER_5_6,VGND,li1,8.5100,27.2000,0.000000
FILLER_4_77,VGND,li1,41.1700,21.7600,0.000000
FILLER_4_69,VGND,li1,39.1000,21.7600,0.000000
FILLER_4_57,VGND,li1,34.5000,21.7600,0.000000
FILLER_4_29,VGND,li1,20.7000,21.7600,0.000000
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000000
FILLER_3_77,VGND,li1,41.1700,21.7600,0.000000
FILLER_3_69,VGND,li1,39.1000,21.7600,0.000000
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000000
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000000
FILLER_3_43,VGND,li1,28.0600,21.7600,0.000000
FILLER_3_31,VGND,li1,22.5400,21.7600,0.000000
FILLER_3_19,VGND,li1,17.0200,21.7600,0.000000
FILLER_3_9,VGND,li1,9.8900,21.7600,0.000000
FILLER_2_79,VGND,li1,42.3200,16.3200,0.000000
FILLER_2_67,VGND,li1,39.1000,16.3200,0.000000
FILLER_2_45,VGND,li1,26.6800,16.3200,0.000000
FILLER_2_37,VGND,li1,24.3800,16.3200,0.000000
FILLER_2_26,VGND,li1,17.9400,16.3200,0.000000
FILLER_2_14,VGND,li1,14.7200,16.3200,0.000000
FILLER_2_10,VGND,li1,10.3500,16.3200,0.000000
FILLER_1_69,VGND,li1,38.6400,16.3200,0.000000
FILLER_1_57,VGND,li1,34.5000,16.3200,0.000000
FILLER_1_54,VGND,li1,30.8200,16.3200,0.000000
FILLER_1_46,VGND,li1,28.5200,16.3200,0.000000
FILLER_1_25,VGND,li1,17.2500,16.3200,0.000000
FILLER_1_17,VGND,li1,13.5700,16.3200,0.000000
FILLER_0_80,VGND,li1,42.5500,10.8800,0.000000
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000000
FILLER_0_49,VGND,li1,29.4400,10.8800,0.000000
FILLER_0_3,VGND,li1,7.1300,10.8800,0.000000
hold2,VGND,li1,16.5600,10.8800,0.000000
hold1,VGND,li1,20.7000,16.3200,0.000000
clkbuf_1_1__f_clk,VGND,li1,27.1400,21.7600,0.000000
clkbuf_1_0__f_clk,VGND,li1,36.3400,10.8800,0.000000
clkbuf_0_clk,VGND,li1,31.7400,16.3200,0.000000
output25,VGND,li1,7.8200,16.3200,0.000000
input24,VGND,li1,41.6300,10.8800,0.000000
