Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,37.9500,35.3600,1.800000
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.800000
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.800000
FILLER_9_41,VPWR,li1,27.1400,35.3600,1.800000
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.800000
FILLER_9_20,VPWR,li1,16.5600,35.3600,1.800000
FILLER_8_73,VPWR,li1,39.5600,35.3600,1.800000
FILLER_8_65,VPWR,li1,37.2600,35.3600,1.800000
FILLER_8_53,VPWR,li1,32.6600,35.3600,1.800000
FILLER_8_41,VPWR,li1,27.1400,35.3600,1.800000
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.800000
FILLER_8_20,VPWR,li1,16.5600,35.3600,1.800000
FILLER_8_12,VPWR,li1,11.2700,35.3600,1.800000
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.800000
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.800000
FILLER_7_54,VPWR,li1,30.8200,29.9200,1.800000
FILLER_7_46,VPWR,li1,28.5200,29.9200,1.800000
FILLER_7_34,VPWR,li1,23.9200,29.9200,1.800000
FILLER_7_22,VPWR,li1,18.4000,29.9200,1.800000
FILLER_7_10,VPWR,li1,12.8800,29.9200,1.800000
FILLER_6_77,VPWR,li1,41.1700,29.9200,1.800000
FILLER_6_65,VPWR,li1,38.1800,29.9200,1.800000
FILLER_6_53,VPWR,li1,32.6600,29.9200,1.800000
FILLER_6_41,VPWR,li1,27.1400,29.9200,1.800000
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.800000
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.800000
FILLER_6_19,VPWR,li1,16.1000,29.9200,1.800000
FILLER_6_9,VPWR,li1,10.3500,29.9200,1.800000
FILLER_5_77,VPWR,li1,41.1700,24.4800,1.800000
FILLER_5_69,VPWR,li1,39.1000,24.4800,1.800000
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.800000
