net,length_um
net51,122.68µm
net52,118.34µm
net50,116.2µm
net29,100.63µm
_207_,96.015µm
net57,94.22µm
net59,91.115µm
net78,91.09µm
net33,88.65µm
net54,85.96µm
clknet_2_2__leaf_clk,85.79µm
net53,84.4µm
net34,83.765µm
hour_inst.done_inc,81.16µm
net32,80.84µm
net76,79.73µm
net46,78.17µm
net45,76.855µm
net49,75.615µm
net62,75.4µm
net47,72.86µm
net6,71.43µm
hour_inst.done_dec,71.08µm
net55,70.35µm
clknet_2_3__leaf_clk,69.95µm
_209_,67.8µm
net31,67.72µm
_210_,65.95µm
net56,65.83µm
_087_,63µm
clknet_2_0__leaf_clk,62.66µm
_072_,62.435µm
net8,60.9µm
_045_,59.7µm
_110_,59.65µm
net25,59.6µm
clknet_0_clk,59.36µm
net63,58.88µm
net75,58.14µm
net73,57.73µm
clk,57.03µm
net3,56.76µm
net23,56.105µm
_068_,55.89µm
net21,54.63µm
net48,54.03µm
_158_,53.76µm
_085_,53.54µm
_212_,53.51µm
net61,53.18µm
_251_,52.58µm
net79,52.45µm
en[5],52.02µm
net68,51.88µm
_278_,50.68µm
net67,50.22µm
net77,50µm
net74,49.63µm
net12,48.3µm
net71,48.265µm
_255_,48µm
net24,47.905µm
_074_,46.78µm
_226_,46.52µm
net7,46.43µm
net40,46.02µm
net66,45.88µm
en[3],45.04µm
net60,45.04µm
_156_,44.64µm
net10,44.2µm
en[4],43.9µm
second[5],43.35µm
_117_,43.12µm
net19,43.015µm
dec[2],42.6µm
net64,42.28µm
net4,42.02µm
net20,41.165µm
clknet_2_1__leaf_clk,40.8µm
dec[3],40.76µm
net16,40.76µm
_113_,40.7µm
net58,40.66µm
_039_,40.43µm
_053_,40.43µm
_252_,40µm
net18,39.75µm
net14,39.14µm
second[4],39.13µm
_118_,39.01µm
_046_,38.58µm
_254_,38.38µm
net27,38.1µm
_280_,38.02µm
net2,37.45µm
net5,37.4µm
net70,37.3µm
_163_,37.2µm
net13,37.16µm
net69,36.74µm
_213_,36.22µm
net1,35.41µm
en[0],35.16µm
_119_,35.02µm
minute_inst.done_inc,35µm
_094_,34.6µm
_281_,34.56µm
_112_,34.38µm
_164_,34.16µm
net9,34.09µm
_162_,33.7µm
en[2],33.4µm
net22,32.34µm
second_inst.done_dec,32.32µm
_216_,32.23µm
_220_,30.98µm
net72,30.96µm
_290_,30.66µm
_058_,30.34µm
_051_,30.28µm
_057_,30.24µm
_268_,30.18µm
second[3],30.17µm
day[2],29.31µm
dec[5],29.18µm
net28,28.6µm
_091_,28.48µm
en[1],28.34µm
day[0],28.23µm
net17,28.16µm
day[1],28.03µm
day_inst.done_inc,27.8µm
_231_,27.68µm
second[0],27.61µm
_049_,27.495µm
_175_,26.815µm
second[1],26.63µm
_272_,26.3µm
second[2],26.29µm
_177_,24.8µm
_033_,24.72µm
_172_,24.72µm
_056_,24.44µm
minute[5],24.35µm
dec[4],24.2µm
net30,24.19µm
second_inst.done_inc,24.14µm
_040_,23.88µm
_047_,23.62µm
_262_,23.58µm
net11,22.52µm
_218_,22.24µm
_134_,22.18µm
_090_,22.1µm
_152_,21.72µm
_036_,21.4µm
day[3],21.29µm
net65,20.9µm
day_inst.done_dec,20.52µm
net15,20.38µm
_042_,20.1µm
_170_,20.08µm
_302_,20.02µm
_285_,19.92µm
hour_num[3],19.71µm
_016_,19.54µm
_070_,19.54µm
_180_,19.36µm
day_num[0],19.27µm
month[0],19.09µm
_041_,18.84µm
minute[4],18.63µm
_192_,18.605µm
_223_,18.6µm
_043_,18.54µm
hour_num[2],17.51µm
_263_,17.39µm
_052_,17.2µm
dec[1],17µm
_194_,16.735µm
day[4],16.57µm
month[1],16.57µm
_029_,16.54µm
_229_,16.54µm
_219_,16.34µm
minute_inst.done_dec,16.1µm
_137_,15.96µm
minute[0],15.53µm
_115_,15.48µm
year[4],15.41µm
day_num[1],15.39µm
_059_,15.3µm
_037_,14.96µm
_183_,14.835µm
month[2],14.73µm
net36,14.62µm
hour[4],14.59µm
month[3],14.51µm
_160_,14.46µm
_296_,14.31µm
_191_,14.1µm
_138_,13.94µm
_227_,13.94µm
_055_,13.905µm
inc[4],13.78µm
_127_,13.72µm
_230_,13.32µm
_181_,13.24µm
_009_,13.08µm
hour_num[1],12.89µm
_282_,12.84µm
_081_,12.82µm
year[3],12.61µm
_211_,12.56µm
_186_,12.44µm
_050_,12.42µm
inc[3],12.4µm
_275_,12.34µm
_217_,12.17µm
_075_,12.16µm
minute[3],12.09µm
_185_,12.055µm
_171_,11.96µm
_063_,11.84µm
_123_,11.82µm
_291_,11.8µm
_092_,11.74µm
inc[2],11.7µm
inc[0],11.48µm
_141_,11.28µm
done_dec[4],11.24µm
_054_,11.16µm
_187_,11.12µm
year[2],11.05µm
_236_,11.02µm
_109_,10.7µm
minute[2],10.59µm
_089_,10.54µm
_044_,10.46µm
_122_,10.46µm
_145_,10.44µm
_088_,10.34µm
minute[1],10.29µm
_205_,10.22µm
_018_,10µm
_204_,9.96µm
_061_,9.92µm
_076_,9.92µm
_017_,9.86µm
_062_,9.86µm
_103_,9.84µm
dec[0],9.66µm
year[0],9.61µm
_240_,9.5µm
_080_,9.48µm
_067_,9.46µm
done_inc[0],9.42µm
_144_,9.36µm
hour_num[4],9.27µm
_245_,9.22µm
_077_,9.18µm
_031_,9.06µm
month_inst.done_inc,9.06µm
done_dec[2],8.96µm
done_dec[3],8.96µm
done_inc[3],8.96µm
year[1],8.93µm
year[5],8.93µm
_200_,8.9µm
_277_,8.8µm
_078_,8.78µm
inc[5],8.76µm
inc[1],8.72µm
_243_,8.69µm
_195_,8.56µm
_132_,8.52µm
_274_,8.52µm
done_dec[0],8.5µm
done_inc[1],8.5µm
done_inc[2],8.5µm
done_inc[4],8.5µm
_102_,8.48µm
_266_,8.48µm
_300_,8.47µm
_099_,8.46µm
_060_,8.3µm
_239_,8.28µm
_261_,8.2µm
_020_,8.16µm
_028_,8.16µm
_101_,8.14µm
done_dec[1],8.04µm
_069_,7.98µm
_248_,7.98µm
_116_,7.94µm
_019_,7.885µm
_196_,7.86µm
_128_,7.82µm
_014_,7.8µm
_155_,7.74µm
net82,7.7µm
_292_,7.56µm
_065_,7.52µm
_142_,7.52µm
_064_,7.5µm
hour[0],7.37µm
_259_,7.3µm
_305_,7.24µm
day_num[2],7.23µm
_154_,7.18µm
_264_,7.1µm
_286_,6.96µm
_035_,6.86µm
_188_,6.86µm
_233_,6.78µm
_079_,6.74µm
hour[2],6.69µm
_166_,6.66µm
_203_,6.66µm
_303_,6.64µm
net37,6.6µm
net39,6.6µm
hour_num[0],6.55µm
_038_,6.5µm
_030_,6.3µm
_169_,6.3µm
_288_,6.26µm
_165_,6.22µm
_206_,6.2µm
_008_,6.18µm
_010_,6.18µm
_294_,6.16µm
reset_n,5.97µm
_289_,5.86µm
_011_,5.84µm
_279_,5.84µm
net81,5.8µm
day_num[3],5.75µm
day_num[4],5.75µm
_124_,5.62µm
_111_,5.6µm
_147_,5.6µm
_250_,5.56µm
hour[3],5.53µm
year[6],5.53µm
_005_,5.52µm
_012_,5.5µm
_146_,5.48µm
_298_,5.38µm
_114_,5.34µm
_108_,5.26µm
_136_,5.26µm
_225_,5.26µm
_199_,5.24µm
net38,5.22µm
_034_,5.04µm
_048_,5.04µm
_013_,5µm
_287_,4.925µm
_023_,4.92µm
_143_,4.92µm
_257_,4.92µm
_148_,4.88µm
hour[1],4.85µm
_159_,4.8µm
_256_,4.8µm
_265_,4.6µm
_026_,4.58µm
_027_,4.54µm
_197_,4.54µm
_168_,4.48µm
_284_,4.42µm
_178_,4.34µm
_190_,4.34µm
_104_,4.225µm
_173_,4.16µm
_189_,4.14µm
_106_,4.02µm
_215_,4.02µm
_224_,4.02µm
_295_,4.02µm
_126_,4.005µm
_024_,4µm
_082_,4µm
_086_,4µm
_129_,4µm
_066_,3.88µm
_015_,3.845µm
_002_,3.76µm
_184_,3.76µm
_232_,3.66µm
_198_,3.64µm
_083_,3.56µm
_150_,3.56µm
