Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_26_138,VPWR,li1,69.4600,84.3200,1.800000
FILLER_26_120,VPWR,li1,60.9500,84.3200,1.800000
FILLER_26_85,VPWR,li1,46.4600,84.3200,1.800000
FILLER_26_65,VPWR,li1,35.8800,84.3200,1.800000
FILLER_26_53,VPWR,li1,30.5900,84.3200,1.800000
FILLER_26_41,VPWR,li1,27.1400,84.3200,1.800000
FILLER_26_29,VPWR,li1,21.6200,84.3200,1.800000
FILLER_26_27,VPWR,li1,18.1700,84.3200,1.800000
FILLER_26_15,VPWR,li1,15.1800,84.3200,1.800000
FILLER_26_3,VPWR,li1,9.6600,84.3200,1.800000
FILLER_25_66,VPWR,li1,36.5700,78.8800,1.800000
FILLER_25_57,VPWR,li1,31.9700,78.8800,1.800000
FILLER_25_27,VPWR,li1,19.3200,78.8800,1.800000
FILLER_25_15,VPWR,li1,15.1800,78.8800,1.800000
FILLER_25_3,VPWR,li1,9.6600,78.8800,1.800000
FILLER_24_141,VPWR,li1,70.6100,78.8800,1.800000
FILLER_24_118,VPWR,li1,60.0300,78.8800,1.800000
FILLER_24_80,VPWR,li1,43.2400,78.8800,1.800000
FILLER_24_59,VPWR,li1,33.3500,78.8800,1.800000
FILLER_24_50,VPWR,li1,28.9800,78.8800,1.800000
FILLER_24_41,VPWR,li1,25.0700,78.8800,1.800000
FILLER_24_29,VPWR,li1,21.6200,78.8800,1.800000
FILLER_24_27,VPWR,li1,18.1700,78.8800,1.800000
FILLER_24_15,VPWR,li1,15.1800,78.8800,1.800000
FILLER_24_3,VPWR,li1,9.6600,78.8800,1.800000
FILLER_23_128,VPWR,li1,64.6300,73.4400,1.800000
FILLER_23_108,VPWR,li1,55.4300,73.4400,1.800000
FILLER_23_96,VPWR,li1,52.4400,73.4400,1.800000
FILLER_23_90,VPWR,li1,47.3800,73.4400,1.800000
FILLER_23_79,VPWR,li1,42.3200,73.4400,1.800000
FILLER_23_25,VPWR,li1,18.4000,73.4400,1.800000
FILLER_23_13,VPWR,li1,14.2600,73.4400,1.800000
FILLER_22_131,VPWR,li1,66.0100,73.4400,1.800000
FILLER_22_119,VPWR,li1,60.9500,73.4400,1.800000
FILLER_22_113,VPWR,li1,57.9600,73.4400,1.800000
FILLER_22_105,VPWR,li1,55.6600,73.4400,1.800000
FILLER_22_77,VPWR,li1,41.6300,73.4400,1.800000
FILLER_22_69,VPWR,li1,37.4900,73.4400,1.800000
FILLER_22_65,VPWR,li1,36.3400,73.4400,1.800000
FILLER_22_60,VPWR,li1,33.5800,73.4400,1.800000
FILLER_22_53,VPWR,li1,30.3600,73.4400,1.800000
FILLER_22_41,VPWR,li1,25.0700,73.4400,1.800000
FILLER_22_29,VPWR,li1,21.6200,73.4400,1.800000
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.800000
FILLER_22_15,VPWR,li1,15.1800,73.4400,1.800000
FILLER_22_3,VPWR,li1,9.6600,73.4400,1.800000
FILLER_21_111,VPWR,li1,56.8100,68.0000,1.800000
FILLER_21_85,VPWR,li1,45.3100,68.0000,1.800000
FILLER_21_57,VPWR,li1,32.6600,68.0000,1.800000
FILLER_21_39,VPWR,li1,26.2200,68.0000,1.800000
FILLER_21_27,VPWR,li1,20.7000,68.0000,1.800000
FILLER_21_15,VPWR,li1,15.1800,68.0000,1.800000
FILLER_21_3,VPWR,li1,9.6600,68.0000,1.800000
FILLER_20_118,VPWR,li1,60.2600,68.0000,1.800000
FILLER_20_83,VPWR,li1,43.9300,68.0000,1.800000
FILLER_20_76,VPWR,li1,40.7100,68.0000,1.800000
FILLER_20_29,VPWR,li1,19.5500,68.0000,1.800000
FILLER_20_27,VPWR,li1,18.1700,68.0000,1.800000
FILLER_20_15,VPWR,li1,15.1800,68.0000,1.800000
FILLER_20_3,VPWR,li1,9.6600,68.0000,1.800000
