net,length_um
net1,183.3µm
net5,175.1µm
net17,167.165µm
net4,162.125µm
net3,160.82µm
net2,160.8µm
net18,151.13µm
net27,145.43µm
net19,142.54µm
net20,136.1µm
net31,107.9µm
net6,103.19µm
net30,98.48µm
net32,98µm
net33,94.82µm
net29,87.72µm
net28,80.4µm
net7,77.42µm
net8,74.83µm
net9,69.665µm
net15,69.42µm
net10,68.4µm
net11,57.2µm
net25,51.26µm
net16,49.945µm
_110_,49.205µm
net89,48.68µm
net87,47.91µm
second[3],47.67µm
_108_,47.26µm
net13,47.1µm
led_sec[13],46.76µm
led_sec[12],45.92µm
_112_,43.97µm
_101_,41.05µm
_159_,40.93µm
minute[3],40.45µm
minute[1],40.03µm
_116_,39.76µm
_138_,39.04µm
_024_,38.68µm
second[5],38.21µm
second[1],38.13µm
_103_,38.1µm
_127_,38.08µm
net21,37.54µm
led_sec[11],37.4µm
_123_,36.52µm
_118_,35.97µm
net93,35.74µm
second[4],35.71µm
_155_,35.57µm
_197_,35.2µm
_142_,34.16µm
net23,33.53µm
net26,32.5µm
_100_,32.04µm
net64,31.96µm
_027_,31.89µm
_079_,31.74µm
_166_,31.58µm
hour[4],30.93µm
_088_,30.68µm
_053_,30.24µm
_181_,29.975µm
led_sec[10],29.36µm
_148_,29.3µm
_147_,28.36µm
_132_,28.34µm
_008_,28.26µm
_058_,27.02µm
hour[3],26.97µm
second[0],26.97µm
_095_,26.68µm
_014_,26.14µm
_102_,25.24µm
_070_,24.94µm
_193_,24.9µm
_164_,24.775µm
net61,24.57µm
_089_,24.3µm
_113_,24.18µm
net77,24.06µm
net51,24.04µm
led_sec[9],23.96µm
_152_,23.92µm
_177_,23.22µm
_065_,23.04µm
_087_,22.98µm
_021_,22.68µm
led_sec[0],22.66µm
_124_,22.62µm
led_min[6],22.54µm
led_day[0],22.52µm
_153_,22.3µm
_104_,22.08µm
_048_,22.06µm
net68,21.93µm
minute[5],21.29µm
_134_,20.995µm
minute[0],20.93µm
_195_,20.88µm
_163_,20.78µm
_196_,20.76µm
led_day[1],20.76µm
net62,20.72µm
_020_,20.48µm
_098_,20.115µm
led_hour[13],19.9µm
_093_,19.76µm
led_year[4],19.76µm
net113,19.6µm
_140_,19.55µm
led_min[5],19.52µm
_105_,19.46µm
_170_,19.46µm
led_sec[8],19.42µm
_183_,19.4µm
_009_,19.14µm
_188_,19.08µm
led_year[8],18.98µm
_059_,18.86µm
led_min[7],18.8µm
_186_,18.72µm
_085_,18.7µm
_161_,18.7µm
led_min[0],18.54µm
led_min[13],18.54µm
led_min[12],18.52µm
_171_,18.42µm
net22,18.4µm
led_year[3],18.24µm
led_min[11],18.14µm
led_min[1],18.14µm
_158_,18.08µm
led_min[10],18.02µm
net91,17.98µm
_144_,17.88µm
led_sec[1],17.88µm
_094_,17.83µm
led_sec[4],17.74µm
net114,17.6µm
_080_,17.58µm
_090_,17.57µm
led_year[1],17.56µm
led_year[2],17.56µm
led_sec[7],17.54µm
led_min[3],17.52µm
led_min[4],17.52µm
net63,17.52µm
_086_,17.48µm
