Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_309,VGND,li1,147.8900,48.9600,0.000000
FILLER_13_301,VGND,li1,144.2100,48.9600,0.000000
FILLER_13_222,VGND,li1,108.1000,48.9600,0.000000
FILLER_13_155,VGND,li1,77.0500,48.9600,0.000000
FILLER_13_29,VGND,li1,19.0900,48.9600,0.000000
FILLER_12_285,VGND,li1,136.8500,43.5200,0.000000
FILLER_12_184,VGND,li1,90.3900,43.5200,0.000000
FILLER_12_141,VGND,li1,70.8400,43.5200,0.000000
FILLER_12_115,VGND,li1,58.6500,43.5200,0.000000
FILLER_12_65,VGND,li1,35.8800,43.5200,0.000000
FILLER_12_44,VGND,li1,26.2200,43.5200,0.000000
FILLER_12_14,VGND,li1,12.4200,43.5200,0.000000
FILLER_11_304,VGND,li1,145.5900,43.5200,0.000000
FILLER_11_299,VGND,li1,143.2900,43.5200,0.000000
FILLER_11_278,VGND,li1,133.8600,43.5200,0.000000
FILLER_11_263,VGND,li1,126.7300,43.5200,0.000000
FILLER_11_242,VGND,li1,117.0700,43.5200,0.000000
FILLER_11_222,VGND,li1,108.1000,43.5200,0.000000
FILLER_11_208,VGND,li1,101.6600,43.5200,0.000000
FILLER_11_191,VGND,li1,93.6100,43.5200,0.000000
FILLER_11_185,VGND,li1,92.0000,43.5200,0.000000
FILLER_11_166,VGND,li1,82.3400,43.5200,0.000000
FILLER_11_151,VGND,li1,75.2100,43.5200,0.000000
FILLER_11_132,VGND,li1,66.7000,43.5200,0.000000
FILLER_11_113,VGND,li1,57.9600,43.5200,0.000000
FILLER_11_94,VGND,li1,48.9900,43.5200,0.000000
FILLER_11_76,VGND,li1,40.9400,43.5200,0.000000
FILLER_11_70,VGND,li1,38.1800,43.5200,0.000000
FILLER_11_61,VGND,li1,33.8100,43.5200,0.000000
FILLER_11_50,VGND,li1,28.9800,43.5200,0.000000
FILLER_11_32,VGND,li1,20.4700,43.5200,0.000000
FILLER_10_309,VGND,li1,147.8900,38.0800,0.000000
FILLER_10_243,VGND,li1,117.7600,38.0800,0.000000
FILLER_10_222,VGND,li1,108.1000,38.0800,0.000000
FILLER_10_200,VGND,li1,98.9000,38.0800,0.000000
FILLER_10_183,VGND,li1,89.9300,38.0800,0.000000
FILLER_10_179,VGND,li1,88.7800,38.0800,0.000000
FILLER_10_170,VGND,li1,83.9500,38.0800,0.000000
