Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_77,VGND,li1,41.1700,38.0800,0.000005
FILLER_9_69,VGND,li1,37.7200,38.0800,0.000005
FILLER_9_47,VGND,li1,27.3700,38.0800,0.000003
FILLER_9_41,VGND,li1,25.7600,38.0800,0.000003
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000003
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000004
FILLER_9_23,VGND,li1,17.0200,38.0800,0.000004
FILLER_9_18,VGND,li1,14.0300,38.0800,0.000004
FILLER_9_14,VGND,li1,12.8800,38.0800,0.000004
FILLER_9_9,VGND,li1,10.1200,38.0800,0.000004
FILLER_8_78,VGND,li1,42.0900,32.6400,0.000001
FILLER_8_70,VGND,li1,39.5600,32.6400,0.000001
FILLER_8_58,VGND,li1,34.9600,32.6400,0.000001
FILLER_8_54,VGND,li1,30.5900,32.6400,0.000001
FILLER_8_47,VGND,li1,27.3700,32.6400,0.000001
FILLER_8_41,VGND,li1,24.6100,32.6400,0.000001
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000001
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000001
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000001
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000001
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000001
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000001
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000001
FILLER_7_51,VGND,li1,29.9000,32.6400,0.000001
FILLER_7_39,VGND,li1,26.2200,32.6400,0.000001
FILLER_7_27,VGND,li1,20.7000,32.6400,0.000001
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000001
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000001
FILLER_6_77,VGND,li1,41.8600,27.2000,0.000000
FILLER_6_65,VGND,li1,38.1800,27.2000,0.000000
FILLER_6_53,VGND,li1,32.6600,27.2000,0.000000
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000000
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000000
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000000
