Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_80,VGND,li1,42.5500,38.0800,0.000017
FILLER_9_41,VGND,li1,24.6100,38.0800,0.000010
FILLER_9_3,VGND,li1,7.1300,38.0800,0.000012
FILLER_8_35,VGND,li1,21.8500,32.6400,0.000027
FILLER_8_3,VGND,li1,7.3600,32.6400,0.000030
FILLER_7_78,VGND,li1,42.0900,32.6400,0.000039
FILLER_7_73,VGND,li1,39.3300,32.6400,0.000038
FILLER_7_57,VGND,li1,32.4300,32.6400,0.000032
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000030
FILLER_7_48,VGND,li1,27.8300,32.6400,0.000026
FILLER_7_42,VGND,li1,25.3000,32.6400,0.000024
FILLER_7_33,VGND,li1,20.9300,32.6400,0.000027
FILLER_7_18,VGND,li1,14.7200,32.6400,0.000029
FILLER_7_6,VGND,li1,11.0400,32.6400,0.000030
FILLER_6_80,VGND,li1,42.5500,27.2000,0.000010
FILLER_6_56,VGND,li1,32.2000,27.2000,0.000008
FILLER_6_48,VGND,li1,27.8300,27.2000,0.000007
FILLER_6_42,VGND,li1,26.2200,27.2000,0.000006
FILLER_6_29,VGND,li1,19.5500,27.2000,0.000006
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000006
FILLER_6_15,VGND,li1,15.1800,27.2000,0.000006
FILLER_6_3,VGND,li1,9.6600,27.2000,0.000006
FILLER_5_69,VGND,li1,39.1000,27.2000,0.000010
FILLER_5_63,VGND,li1,34.7300,27.2000,0.000009
FILLER_5_57,VGND,li1,33.1200,27.2000,0.000008
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000008
FILLER_5_51,VGND,li1,29.9000,27.2000,0.000008
FILLER_5_39,VGND,li1,26.2200,27.2000,0.000006
FILLER_5_27,VGND,li1,20.7000,27.2000,0.000006
FILLER_5_15,VGND,li1,15.1800,27.2000,0.000006
FILLER_5_3,VGND,li1,9.6600,27.2000,0.000006
FILLER_4_77,VGND,li1,41.8600,21.7600,0.000000
FILLER_4_65,VGND,li1,38.1800,21.7600,0.000000
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000000
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000000
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000000
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000000
FILLER_4_15,VGND,li1,15.1800,21.7600,0.000000
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000000
FILLER_3_69,VGND,li1,40.0200,21.7600,0.000000
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000000
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000000
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000000
FILLER_3_39,VGND,li1,26.2200,21.7600,0.000000
FILLER_3_27,VGND,li1,20.7000,21.7600,0.000000
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000000
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000000
FILLER_2_77,VGND,li1,41.8600,16.3200,0.000000
FILLER_2_65,VGND,li1,38.1800,16.3200,0.000000
FILLER_2_53,VGND,li1,32.6600,16.3200,0.000000
FILLER_2_41,VGND,li1,27.1400,16.3200,0.000000
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000000
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000000
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000000
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000000
FILLER_1_69,VGND,li1,40.0200,16.3200,0.000000
FILLER_1_57,VGND,li1,34.5000,16.3200,0.000000
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000000
FILLER_1_51,VGND,li1,29.9000,16.3200,0.000000
FILLER_1_39,VGND,li1,26.2200,16.3200,0.000000
FILLER_1_27,VGND,li1,20.7000,16.3200,0.000000
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000000
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000000
FILLER_0_71,VGND,li1,39.1000,10.8800,0.000005
