Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_80,VPWR,li1,42.5500,35.3600,1.799954
FILLER_9_41,VPWR,li1,24.6100,35.3600,1.799973
FILLER_9_3,VPWR,li1,7.1300,35.3600,1.799974
FILLER_8_35,VPWR,li1,21.8500,35.3600,1.799978
FILLER_8_3,VPWR,li1,7.3600,35.3600,1.799974
FILLER_7_78,VPWR,li1,42.0900,29.9200,1.799974
FILLER_7_73,VPWR,li1,39.3300,29.9200,1.799974
FILLER_7_57,VPWR,li1,32.4300,29.9200,1.799977
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799978
FILLER_7_48,VPWR,li1,27.8300,29.9200,1.799980
FILLER_7_42,VPWR,li1,25.3000,29.9200,1.799982
FILLER_7_33,VPWR,li1,20.9300,29.9200,1.799986
FILLER_7_18,VPWR,li1,14.7200,29.9200,1.799986
FILLER_7_6,VPWR,li1,11.0400,29.9200,1.799985
FILLER_6_80,VPWR,li1,42.5500,29.9200,1.799974
FILLER_6_56,VPWR,li1,32.2000,29.9200,1.799977
FILLER_6_48,VPWR,li1,27.8300,29.9200,1.799980
FILLER_6_42,VPWR,li1,26.2200,29.9200,1.799982
FILLER_6_29,VPWR,li1,19.5500,29.9200,1.799986
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799986
FILLER_6_15,VPWR,li1,15.1800,29.9200,1.799986
FILLER_6_3,VPWR,li1,9.6600,29.9200,1.799985
FILLER_5_69,VPWR,li1,39.1000,24.4800,1.799999
FILLER_5_63,VPWR,li1,34.7300,24.4800,1.799999
FILLER_5_57,VPWR,li1,33.1200,24.4800,1.799999
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799999
FILLER_5_51,VPWR,li1,29.9000,24.4800,1.799999
FILLER_5_39,VPWR,li1,26.2200,24.4800,1.800000
FILLER_5_27,VPWR,li1,20.7000,24.4800,1.800000
FILLER_5_15,VPWR,li1,15.1800,24.4800,1.800000
FILLER_5_3,VPWR,li1,9.6600,24.4800,1.800000
FILLER_4_77,VPWR,li1,41.8600,24.4800,1.799999
FILLER_4_65,VPWR,li1,38.1800,24.4800,1.799999
FILLER_4_53,VPWR,li1,32.6600,24.4800,1.799999
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.800000
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.800000
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.800000
FILLER_4_15,VPWR,li1,15.1800,24.4800,1.800000
FILLER_4_3,VPWR,li1,9.6600,24.4800,1.800000
FILLER_3_69,VPWR,li1,40.0200,19.0400,1.800000
FILLER_3_57,VPWR,li1,34.5000,19.0400,1.800000
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.800000
FILLER_3_51,VPWR,li1,29.9000,19.0400,1.800000
FILLER_3_39,VPWR,li1,26.2200,19.0400,1.800000
FILLER_3_27,VPWR,li1,20.7000,19.0400,1.800000
FILLER_3_15,VPWR,li1,15.1800,19.0400,1.800000
FILLER_3_3,VPWR,li1,9.6600,19.0400,1.800000
FILLER_2_77,VPWR,li1,41.8600,19.0400,1.800000
