net,length_um
net110,507.38µm
year\[0\],470.53µm
year\[4\],457.88µm
year\[3\],456.88µm
year\[1\],455.63µm
year\[2\],453.62µm
year\[6\],452.16µm
year\[5\],446.91µm
minute\[1\],432.44µm
minute\[3\],430.25µm
minute\[0\],421.32µm
minute\[2\],419.43µm
month\[0\],417.42µm
minute\[4\],416.48µm
minute\[5\],413.52µm
month\[3\],412.16µm
month\[2\],410.64µm
hour\[0\],404.25µm
month\[1\],403.94µm
hour\[1\],401.83µm
hour\[2\],400.42µm
hour\[3\],386.54µm
hour\[4\],382.93µm
second\[0\],273.32µm
hour_num\[2\],272.67µm
second\[4\],268.74µm
second\[3\],266.52µm
hour_num\[0\],265.8µm
second\[5\],264.47µm
hour_num\[1\],264.45µm
second\[2\],263.52µm
second\[1\],262.27µm
clk,257.1µm
hour_num\[3\],256.78µm
day\[4\],252.51µm
day_num\[0\],251.52µm
day\[2\],247.09µm
hour_num\[4\],239.72µm
day_num\[1\],239.65µm
day\[3\],238.54µm
day_num\[4\],238.13µm
day_num\[2\],237.81µm
day\[1\],237.19µm
done_inc\[0\],235.46µm
day_num\[3\],233.34µm
day\[0\],232.34µm
done_inc\[1\],208.36µm
done_inc\[2\],206.98µm
done_inc\[3\],205.6µm
done_inc\[4\],204.12µm
done_dec\[0\],202.66µm
done_dec\[1\],202.38µm
done_dec\[2\],200.08µm
done_dec\[3\],199.38µm
done_dec\[4\],198.24µm
inc\[0\],195.76µm
inc\[1\],194.56µm
inc\[2\],193.18µm
inc\[3\],191.62µm
inc\[4\],190.42µm
inc\[5\],190.22µm
dec\[0\],187.56µm
dec\[2\],186.18µm
dec\[1\],186.1µm
dec\[3\],183.8µm
dec\[4\],182.88µm
dec\[5\],180.66µm
en\[0\],179.28µm
en\[1\],178µm
en\[2\],176.62µm
en\[3\],175.06µm
en\[4\],173.86µm
en\[5\],172.48µm
clknet_1_0__leaf_clk,160.72µm
clknet_0_clk,160.02µm
net60,154.71µm
net102,153.66µm
net104,146.76µm
net106,142.58µm
net57,141.41µm
net69,141.06µm
clknet_1_1__leaf_clk,138.32µm
net65,137.35µm
net40,135.48µm
net77,135.26µm
net87,133.51µm
net97,133.4µm
net66,127.01µm
net64,125.25µm
net98,124.5µm
net62,122.64µm
net55,122.48µm
net75,118.7µm
net89,117.43µm
net93,117.21µm
net61,116.49µm
net26,112.74µm
net82,112.74µm
net28,110.88µm
net46,108.58µm
net30,108.12µm
net63,106.52µm
net32,105.98µm
net56,104.32µm
net67,102.775µm
net48,101.68µm
net41,97.08µm
net92,95.92µm
net37,95.24µm
net50,94.78µm
net90,94.5µm
net6,91.57µm
net79,90.64µm
net27,87.86µm
net58,87.38µm
net84,87.06µm
net38,86.04µm
net35,84.2µm
net33,83.96µm
net42,82.36µm
net76,81.26µm
net94,78.03µm
net88,76.42µm
net1,75.51µm
net44,75.46µm
net39,74.36µm
net5,74.19µm
net71,74.08µm
net95,73.06µm
net83,72.58µm
net85,71.28µm
net91,70.56µm
net53,70.22µm
net109,69.94µm
net108,69.76µm
net78,69.48µm
net80,69.3µm
net100,69.3µm
net45,68.56µm
net52,68.56µm
net59,68.56µm
net101,68.56µm
net34,68.38µm
net47,68.1µm
net103,68.1µm
net43,67.92µm
net29,67.64µm
net49,67.64µm
net73,67.64µm
net99,67.64µm
net105,67.64µm
net68,67.46µm
net107,67.46µm
net36,67.18µm
net51,67.18µm
net54,67.18µm
net70,67.18µm
net72,67.18µm
net96,67.18µm
net74,67µm
net31,66.72µm
net81,66.72µm
net4,65.87µm
net12,65.83µm
net3,63.85µm
net11,58.87µm
net2,58.61µm
net9,58.27µm
net86,57.2µm
net10,52.25µm
net7,51.83µm
net8,46.4µm
net25,39.79µm
net13,34.12µm
net15,27.64µm
net17,27.64µm
net23,27.18µm
net16,26.72µm
net21,26.72µm
net24,26.72µm
net14,26.26µm
net19,26.26µm
net22,26.26µm
net20,26.08µm
net18,19.3µm
alarm_i,10.56µm
led_hour[13],10.56µm
alarm_hour[2],9.64µm
alarm_min[0],9.64µm
alarm_min[1],9.64µm
alarm_min[2],9.64µm
alarm_min[3],9.64µm
button_dec,9.64µm
button_inc,9.64µm
led_hour[0],9.64µm
led_hour[10],9.64µm
led_hour[11],9.64µm
led_hour[12],9.64µm
led_hour[1],9.64µm
led_hour[2],9.64µm
led_hour[3],9.64µm
led_hour[4],9.64µm
led_hour[5],9.64µm
led_hour[6],9.64µm
led_hour[7],9.64µm
led_hour[8],9.64µm
led_hour[9],9.64µm
led_min[0],9.64µm
led_min[1],9.64µm
led_month[11],9.64µm
led_month[2],9.64µm
led_month[9],9.64µm
led_year[0],9.64µm
led_year[10],9.64µm
led_year[11],9.64µm
led_year[12],9.64µm
led_year[13],9.64µm
led_year[1],9.64µm
led_year[2],9.64µm
led_year[3],9.64µm
led_year[4],9.64µm
led_year[5],9.64µm
led_year[6],9.64µm
led_year[7],9.64µm
led_year[8],9.64µm
led_year[9],9.64µm
mode[1],9.64µm
select[0],9.64µm
select[2],9.64µm
select[4],9.64µm
led_day[0],9.18µm
led_day[10],9.18µm
led_day[11],9.18µm
led_day[12],9.18µm
led_day[13],9.18µm
led_day[1],9.18µm
led_day[2],9.18µm
led_day[3],9.18µm
led_day[4],9.18µm
led_day[5],9.18µm
led_day[6],9.18µm
led_day[7],9.18µm
led_day[8],9.18µm
led_day[9],9.18µm
led_month[0],9.18µm
led_month[10],9.18µm
led_month[12],9.18µm
led_month[13],9.18µm
led_month[1],9.18µm
led_month[3],9.18µm
led_month[4],9.18µm
led_month[5],9.18µm
led_month[6],9.18µm
led_month[7],9.18µm
led_month[8],9.18µm
alarm_hour[0],8.72µm
alarm_hour[1],8.72µm
alarm_hour[3],8.72µm
alarm_hour[4],8.72µm
alarm_min[4],8.72µm
alarm_min[5],8.72µm
mode[0],8.72µm
select[1],8.72µm
select[3],8.72µm
select[5],8.72µm
alarm_o,8.5µm
am_pm,7.69µm
led_min[12],6.99µm
reset_n,6.33µm
led_min[11],5.29µm
led_min[13],5.29µm
led_min[5],5.29µm
led_min[6],5.29µm
led_min[7],5.29µm
led_sec[0],5.29µm
led_sec[11],4.95µm
led_min[10],4.61µm
led_min[9],4.61µm
led_sec[12],4.61µm
led_sec[13],4.61µm
led_sec[1],4.61µm
led_sec[3],4.61µm
led_sec[4],4.61µm
led_sec[5],4.61µm
led_sec[7],4.27µm
led_sec[9],4.27µm
led_min[2],3.93µm
led_min[3],3.93µm
led_min[4],3.93µm
led_min[8],3.93µm
led_sec[10],3.93µm
led_sec[2],3.93µm
led_sec[6],3.93µm
led_sec[8],3.93µm
