Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_101_841,VGND,li1,392.6100,288.3200,0.000000
FILLER_101_837,VGND,li1,391.2300,288.3200,0.000000
FILLER_101_825,VGND,li1,387.7800,288.3200,0.000000
FILLER_101_813,VGND,li1,382.2600,288.3200,0.000000
FILLER_101_809,VGND,li1,378.3500,288.3200,0.000000
FILLER_101_797,VGND,li1,374.9000,288.3200,0.000000
FILLER_101_785,VGND,li1,369.3800,288.3200,0.000000
FILLER_101_781,VGND,li1,365.4700,288.3200,0.000000
FILLER_101_769,VGND,li1,362.0200,288.3200,0.000000
FILLER_101_757,VGND,li1,356.5000,288.3200,0.000000
FILLER_101_753,VGND,li1,352.5900,288.3200,0.000000
FILLER_101_741,VGND,li1,349.1400,288.3200,0.000000
FILLER_101_729,VGND,li1,343.6200,288.3200,0.000000
FILLER_101_727,VGND,li1,340.1700,288.3200,0.000000
FILLER_101_719,VGND,li1,338.1000,288.3200,0.000000
FILLER_101_707,VGND,li1,333.5000,288.3200,0.000000
FILLER_101_693,VGND,li1,324.5300,288.3200,0.000000
FILLER_101_686,VGND,li1,321.3100,288.3200,0.000000
FILLER_101_679,VGND,li1,318.0900,288.3200,0.000000
FILLER_101_665,VGND,li1,311.6500,288.3200,0.000000
FILLER_101_658,VGND,li1,308.4300,288.3200,0.000000
FILLER_101_651,VGND,li1,305.2100,288.3200,0.000000
FILLER_101_637,VGND,li1,298.7700,288.3200,0.000000
FILLER_101_630,VGND,li1,296.0100,288.3200,0.000000
FILLER_101_623,VGND,li1,292.7900,288.3200,0.000000
FILLER_101_617,VGND,li1,289.8000,288.3200,0.000000
FILLER_101_609,VGND,li1,286.3500,288.3200,0.000000
FILLER_101_602,VGND,li1,283.1300,288.3200,0.000000
FILLER_101_595,VGND,li1,279.9100,288.3200,0.000000
FILLER_101_589,VGND,li1,276.9200,288.3200,0.000000
FILLER_101_581,VGND,li1,273.4700,288.3200,0.000000
FILLER_101_574,VGND,li1,270.2500,288.3200,0.000000
FILLER_101_567,VGND,li1,267.0300,288.3200,0.000000
FILLER_101_561,VGND,li1,264.0400,288.3200,0.000000
FILLER_101_553,VGND,li1,260.5900,288.3200,0.000000
FILLER_101_546,VGND,li1,257.3700,288.3200,0.000000
FILLER_101_539,VGND,li1,254.1500,288.3200,0.000000
FILLER_101_533,VGND,li1,251.1600,288.3200,0.000000
FILLER_101_525,VGND,li1,247.7100,288.3200,0.000000
FILLER_101_518,VGND,li1,244.4900,288.3200,0.000000
FILLER_101_511,VGND,li1,241.2700,288.3200,0.000000
FILLER_101_505,VGND,li1,238.2800,288.3200,0.000000
FILLER_101_497,VGND,li1,234.8300,288.3200,0.000000
FILLER_101_490,VGND,li1,231.6100,288.3200,0.000000
FILLER_101_483,VGND,li1,228.3900,288.3200,0.000000
FILLER_101_477,VGND,li1,225.4000,288.3200,0.000000
FILLER_101_469,VGND,li1,221.9500,288.3200,0.000000
FILLER_101_462,VGND,li1,218.7300,288.3200,0.000000
FILLER_101_455,VGND,li1,215.5100,288.3200,0.000000
FILLER_101_449,VGND,li1,212.5200,288.3200,0.000000
FILLER_101_441,VGND,li1,209.0700,288.3200,0.000000
FILLER_101_434,VGND,li1,205.8500,288.3200,0.000000
FILLER_101_427,VGND,li1,202.6300,288.3200,0.000000
FILLER_101_413,VGND,li1,196.1900,288.3200,0.000000
FILLER_101_406,VGND,li1,192.9700,288.3200,0.000000
FILLER_101_399,VGND,li1,189.7500,288.3200,0.000000
FILLER_101_393,VGND,li1,186.7600,288.3200,0.000000
FILLER_101_385,VGND,li1,183.3100,288.3200,0.000000
FILLER_101_380,VGND,li1,180.5500,288.3200,0.000000
FILLER_101_373,VGND,li1,177.3300,288.3200,0.000000
FILLER_101_365,VGND,li1,173.8800,288.3200,0.000000
FILLER_101_359,VGND,li1,170.8900,288.3200,0.000000
FILLER_101_352,VGND,li1,167.6700,288.3200,0.000000
FILLER_101_345,VGND,li1,164.4500,288.3200,0.000000
FILLER_101_331,VGND,li1,158.0100,288.3200,0.000000
FILLER_101_324,VGND,li1,154.7900,288.3200,0.000000
FILLER_101_317,VGND,li1,151.5700,288.3200,0.000000
FILLER_101_301,VGND,li1,144.6700,288.3200,0.000000
FILLER_101_293,VGND,li1,142.1400,288.3200,0.000000
FILLER_101_281,VGND,li1,137.5400,288.3200,0.000000
FILLER_101_277,VGND,li1,133.6300,288.3200,0.000000
