Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_101_841,VPWR,li1,392.6100,285.6000,1.800000
FILLER_101_837,VPWR,li1,391.2300,285.6000,1.800000
FILLER_101_825,VPWR,li1,387.7800,285.6000,1.800000
FILLER_101_813,VPWR,li1,382.2600,285.6000,1.800000
FILLER_101_809,VPWR,li1,378.3500,285.6000,1.800000
FILLER_101_797,VPWR,li1,374.9000,285.6000,1.800000
FILLER_101_785,VPWR,li1,369.3800,285.6000,1.800000
FILLER_101_781,VPWR,li1,365.4700,285.6000,1.800000
FILLER_101_769,VPWR,li1,362.0200,285.6000,1.800000
FILLER_101_757,VPWR,li1,356.5000,285.6000,1.800000
FILLER_101_753,VPWR,li1,352.5900,285.6000,1.800000
FILLER_101_741,VPWR,li1,349.1400,285.6000,1.800000
FILLER_101_729,VPWR,li1,343.6200,285.6000,1.800000
FILLER_101_727,VPWR,li1,340.1700,285.6000,1.800000
FILLER_101_719,VPWR,li1,338.1000,285.6000,1.800000
FILLER_101_707,VPWR,li1,333.5000,285.6000,1.800000
FILLER_101_693,VPWR,li1,324.5300,285.6000,1.800000
FILLER_101_686,VPWR,li1,321.3100,285.6000,1.800000
FILLER_101_679,VPWR,li1,318.0900,285.6000,1.800000
FILLER_101_665,VPWR,li1,311.6500,285.6000,1.800000
FILLER_101_658,VPWR,li1,308.4300,285.6000,1.800000
FILLER_101_651,VPWR,li1,305.2100,285.6000,1.800000
FILLER_101_637,VPWR,li1,298.7700,285.6000,1.800000
FILLER_101_630,VPWR,li1,296.0100,285.6000,1.800000
FILLER_101_623,VPWR,li1,292.7900,285.6000,1.800000
FILLER_101_617,VPWR,li1,289.8000,285.6000,1.800000
FILLER_101_609,VPWR,li1,286.3500,285.6000,1.800000
FILLER_101_602,VPWR,li1,283.1300,285.6000,1.800000
FILLER_101_595,VPWR,li1,279.9100,285.6000,1.800000
FILLER_101_589,VPWR,li1,276.9200,285.6000,1.800000
FILLER_101_581,VPWR,li1,273.4700,285.6000,1.800000
FILLER_101_574,VPWR,li1,270.2500,285.6000,1.800000
FILLER_101_567,VPWR,li1,267.0300,285.6000,1.800000
FILLER_101_561,VPWR,li1,264.0400,285.6000,1.800000
FILLER_101_553,VPWR,li1,260.5900,285.6000,1.800000
FILLER_101_546,VPWR,li1,257.3700,285.6000,1.800000
FILLER_101_539,VPWR,li1,254.1500,285.6000,1.800000
FILLER_101_533,VPWR,li1,251.1600,285.6000,1.800000
FILLER_101_525,VPWR,li1,247.7100,285.6000,1.800000
FILLER_101_518,VPWR,li1,244.4900,285.6000,1.800000
FILLER_101_511,VPWR,li1,241.2700,285.6000,1.800000
FILLER_101_505,VPWR,li1,238.2800,285.6000,1.800000
FILLER_101_497,VPWR,li1,234.8300,285.6000,1.800000
FILLER_101_490,VPWR,li1,231.6100,285.6000,1.800000
FILLER_101_483,VPWR,li1,228.3900,285.6000,1.800000
FILLER_101_477,VPWR,li1,225.4000,285.6000,1.800000
FILLER_101_469,VPWR,li1,221.9500,285.6000,1.800000
FILLER_101_462,VPWR,li1,218.7300,285.6000,1.800000
FILLER_101_455,VPWR,li1,215.5100,285.6000,1.800000
FILLER_101_449,VPWR,li1,212.5200,285.6000,1.800000
FILLER_101_441,VPWR,li1,209.0700,285.6000,1.800000
FILLER_101_434,VPWR,li1,205.8500,285.6000,1.800000
FILLER_101_427,VPWR,li1,202.6300,285.6000,1.800000
FILLER_101_413,VPWR,li1,196.1900,285.6000,1.800000
FILLER_101_406,VPWR,li1,192.9700,285.6000,1.800000
FILLER_101_399,VPWR,li1,189.7500,285.6000,1.800000
FILLER_101_393,VPWR,li1,186.7600,285.6000,1.800000
FILLER_101_385,VPWR,li1,183.3100,285.6000,1.800000
